Regions,Year-Month,STEO_Sale_COM,STEO_Sale_IND,STEO_Sale_RES,STEO_Sale_All,Year,Month,STEO_Sale_ALL_no_OTH
East North Central,2015-01-01,15841.0,16337.0,19282.0,51522.0,2015,1,51460.0
East South Central,2015-01-01,7564.0,8649.0,12245.0,28458.0,2015,1,28458.0
Middle Atlantic,2015-01-01,13454.0,5952.0,13299.0,33077.0,2015,1,32705.0
Mountain,2015-01-01,7502.0,6789.0,8246.0,22537.0,2015,1,22537.0
New England,2015-01-01,4526.0,1488.0,4774.0,10850.0,2015,1,10788.0
Pacific Contiguous,2015-01-01,13020.0,7037.0,13454.0,33573.0,2015,1,33511.0
Pacific Noncontiguous,2015-01-01,496.0,403.0,434.0,1302.0,2015,1,1333.0
South Atlantic,2015-01-01,25079.0,11377.0,34875.0,71455.0,2015,1,71331.0
West North Central,2015-01-01,8804.0,7471.0,10974.0,27249.0,2015,1,27249.0
West South Central,2015-01-01,15314.0,14105.0,20181.0,49631.0,2015,1,49600.0
East North Central,2015-02-01,14840.0,15792.0,17612.0,48300.0,2015,2,48244.0
East South Central,2015-02-01,7196.0,8064.0,12068.0,27328.0,2015,2,27328.0
Middle Atlantic,2015-02-01,13244.0,5964.0,12628.0,32172.0,2015,2,31836.0
Mountain,2015-02-01,6888.0,6188.0,6216.0,19320.0,2015,2,19292.0
New England,2015-02-01,4424.0,1456.0,4676.0,10612.0,2015,2,10556.0
Pacific Contiguous,2015-02-01,12012.0,6748.0,10808.0,29624.0,2015,2,29568.0
Pacific Noncontiguous,2015-02-01,476.0,392.0,392.0,1232.0,2015,2,1260.0
South Atlantic,2015-02-01,23968.0,11368.0,32480.0,67956.0,2015,2,67816.0
West North Central,2015-02-01,8232.0,7280.0,9744.0,25256.0,2015,2,25256.0
West South Central,2015-02-01,14224.0,13496.0,17192.0,44940.0,2015,2,44912.0
East North Central,2015-03-01,15066.0,16647.0,16027.0,47802.0,2015,3,47740.0
East South Central,2015-03-01,7192.0,8587.0,10602.0,26350.0,2015,3,26381.0
Middle Atlantic,2015-03-01,13330.0,6169.0,12121.0,32023.0,2015,3,31620.0
Mountain,2015-03-01,7378.0,6541.0,6572.0,20522.0,2015,3,20491.0
New England,2015-03-01,4402.0,1457.0,4309.0,10199.0,2015,3,10168.0
Pacific Contiguous,2015-03-01,13206.0,7378.0,11067.0,31744.0,2015,3,31651.0
Pacific Noncontiguous,2015-03-01,496.0,403.0,372.0,1271.0,2015,3,1271.0
South Atlantic,2015-03-01,23715.0,11036.0,30194.0,65038.0,2015,3,64945.0
West North Central,2015-03-01,8153.0,7533.0,8649.0,24335.0,2015,3,24335.0
West South Central,2015-03-01,14849.0,13950.0,17236.0,46035.0,2015,3,46035.0
East North Central,2015-04-01,13710.0,15900.0,11730.0,41400.0,2015,4,41340.0
East South Central,2015-04-01,6960.0,8550.0,7200.0,22710.0,2015,4,22710.0
Middle Atlantic,2015-04-01,12030.0,5910.0,9330.0,27570.0,2015,4,27270.0
Mountain,2015-04-01,7290.0,6750.0,6000.0,20040.0,2015,4,20040.0
New England,2015-04-01,4140.0,1530.0,3570.0,9270.0,2015,4,9240.0
Pacific Contiguous,2015-04-01,13080.0,7800.0,10200.0,31200.0,2015,4,31080.0
Pacific Noncontiguous,2015-04-01,480.0,420.0,360.0,1260.0,2015,4,1260.0
South Atlantic,2015-04-01,23910.0,11790.0,22740.0,58560.0,2015,4,58440.0
West North Central,2015-04-01,7620.0,7470.0,6390.0,21480.0,2015,4,21480.0
West South Central,2015-04-01,14910.0,14370.0,12690.0,41970.0,2015,4,41970.0
East North Central,2015-05-01,15035.0,16926.0,12555.0,44578.0,2015,5,44516.0
East South Central,2015-05-01,7440.0,8773.0,7688.0,23932.0,2015,5,23901.0
Middle Atlantic,2015-05-01,12617.0,5549.0,9114.0,27590.0,2015,5,27280.0
Mountain,2015-05-01,7688.0,7037.0,6417.0,21173.0,2015,5,21142.0
New England,2015-05-01,4061.0,1550.0,3100.0,8773.0,2015,5,8711.0
Pacific Contiguous,2015-05-01,12555.0,7626.0,9486.0,29729.0,2015,5,29667.0
Pacific Noncontiguous,2015-05-01,465.0,403.0,341.0,1240.0,2015,5,1209.0
South Atlantic,2015-05-01,26319.0,12617.0,25916.0,64945.0,2015,5,64852.0
West North Central,2015-05-01,8029.0,7564.0,6448.0,22072.0,2015,5,22041.0
West South Central,2015-05-01,15190.0,14787.0,14074.0,44082.0,2015,5,44051.0
East North Central,2015-06-01,15810.0,16920.0,14700.0,47490.0,2015,6,47430.0
East South Central,2015-06-01,8280.0,8910.0,10140.0,27300.0,2015,6,27330.0
Middle Atlantic,2015-06-01,13380.0,6630.0,10860.0,31170.0,2015,6,30870.0
Mountain,2015-06-01,8490.0,7680.0,9390.0,25530.0,2015,6,25560.0
New England,2015-06-01,4500.0,1650.0,3510.0,9720.0,2015,6,9660.0
Pacific Contiguous,2015-06-01,13980.0,8160.0,10890.0,33090.0,2015,6,33030.0
Pacific Noncontiguous,2015-06-01,480.0,420.0,330.0,1230.0,2015,6,1230.0
South Atlantic,2015-06-01,28260.0,12540.0,32670.0,73590.0,2015,6,73470.0
West North Central,2015-06-01,8730.0,7740.0,8400.0,24900.0,2015,6,24870.0
West South Central,2015-06-01,17370.0,15600.0,19410.0,52380.0,2015,6,52380.0
East North Central,2015-07-01,17112.0,16833.0,18197.0,52204.0,2015,7,52142.0
East South Central,2015-07-01,9052.0,9021.0,12462.0,30535.0,2015,7,30535.0
Middle Atlantic,2015-07-01,14756.0,6541.0,13144.0,34782.0,2015,7,34441.0
Mountain,2015-07-01,8959.0,7843.0,10757.0,27559.0,2015,7,27559.0
New England,2015-07-01,4929.0,1643.0,4340.0,10974.0,2015,7,10912.0
Pacific Contiguous,2015-07-01,14911.0,8556.0,13299.0,36828.0,2015,7,36766.0
Pacific Noncontiguous,2015-07-01,496.0,434.0,372.0,1333.0,2015,7,1302.0
South Atlantic,2015-07-01,29667.0,12493.0,38161.0,80445.0,2015,7,80321.0
West North Central,2015-07-01,9610.0,8091.0,10447.0,28148.0,2015,7,28148.0
West South Central,2015-07-01,18972.0,16275.0,24862.0,60140.0,2015,7,60109.0
East North Central,2015-08-01,16802.0,17143.0,17887.0,51863.0,2015,8,51832.0
East South Central,2015-08-01,9083.0,9052.0,12400.0,30535.0,2015,8,30535.0
Middle Atlantic,2015-08-01,14942.0,6231.0,13702.0,35216.0,2015,8,34875.0
Mountain,2015-08-01,9362.0,7967.0,10881.0,28241.0,2015,8,28210.0
New England,2015-08-01,4991.0,1705.0,4681.0,11408.0,2015,8,11377.0
