Year,State,Month,Heating_deg_days,Cooling_deg_days
1989,AL,1,504,25
1990,AL,1,517,21
1991,AL,1,632,9
1992,AL,1,674,7
1993,AL,1,551,19
1994,AL,1,786,3
1995,AL,1,643,9
1996,AL,1,705,5
1997,AL,1,634,9
1998,AL,1,571,16
1999,AL,1,531,20
2000,AL,1,621,11
2001,AL,1,769,3
2002,AL,1,598,14
2003,AL,1,810,2
2004,AL,1,678,6
2005,AL,1,531,20
2006,AL,1,482,26
2007,AL,1,606,13
2008,AL,1,709,5
2009,AL,1,657,9
2010,AL,1,809,2
2011,AL,1,771,3
2012,AL,1,509,23
2013,AL,1,524,22
2014,AL,1,887,1
2015,AL,1,698,5
2016,AL,1,713,4
2017,AL,1,447,33
2018,AL,1,796,2
2019,AL,1,618,12
1989,AZ,1,550,0
1990,AZ,1,523,0
1991,AZ,1,518,0
1992,AZ,1,524,0
1993,AZ,1,442,4
1994,AZ,1,468,0
1995,AZ,1,499,0
1996,AZ,1,436,4
1997,AZ,1,479,0
1998,AZ,1,455,0
1999,AZ,1,417,4
2000,AZ,1,392,6
2001,AZ,1,542,0
2002,AZ,1,493,0
2003,AZ,1,305,14
2004,AZ,1,455,0
2005,AZ,1,423,4
2006,AZ,1,432,4
2007,AZ,1,578,0
2008,AZ,1,531,0
2009,AZ,1,397,6
2010,AZ,1,456,4
2011,AZ,1,501,0
2012,AZ,1,404,5
2013,AZ,1,573,0
2014,AZ,1,368,8
2015,AZ,1,415,4
2016,AZ,1,507,0
2017,AZ,1,492,0
2018,AZ,1,321,13
2019,AZ,1,475,0
1989,AR,1,659,2
1990,AR,1,620,5
1991,AR,1,881,0
1992,AR,1,761,0
1993,AR,1,814,0
1994,AR,1,898,0
1995,AR,1,759,0
1996,AR,1,854,0
1997,AR,1,841,0
1998,AR,1,658,1
1999,AR,1,714,1
2000,AR,1,738,0
2001,AR,1,879,0
2002,AR,1,715,1
2003,AR,1,890,0
2004,AR,1,758,0
2005,AR,1,649,2
2006,AR,1,564,9
2007,AR,1,800,0
2008,AR,1,821,0
2009,AR,1,843,0
2010,AR,1,897,0
2011,AR,1,869,0
2012,AR,1,651,2
2013,AR,1,728,0
2014,AR,1,937,0
2015,AR,1,831,0
2016,AR,1,807,0
2017,AR,1,640,2
2018,AR,1,921,0
2019,AR,1,774,0
1989,CA,1,615,0
1990,CA,1,552,0
1991,CA,1,537,0
1992,CA,1,537,0
1993,CA,1,581,0
1994,CA,1,481,0
1995,CA,1,520,0
1996,CA,1,488,0
1997,CA,1,517,0
1998,CA,1,501,0
1999,CA,1,504,0
2000,CA,1,477,0
2001,CA,1,593,0
2002,CA,1,581,0
2003,CA,1,353,10
2004,CA,1,544,0
2005,CA,1,519,0
2006,CA,1,513,0
2007,CA,1,608,0
2008,CA,1,600,0
2009,CA,1,433,5
2010,CA,1,491,0
2011,CA,1,481,0
2012,CA,1,445,4
2013,CA,1,574,0
2014,CA,1,339,10
2015,CA,1,395,5
2016,CA,1,507,0
2017,CA,1,573,0
2018,CA,1,373,8
2019,CA,1,476,0
1989,CO,1,1171,0
1990,CO,1,1144,0
1991,CO,1,1296,0
1992,CO,1,1198,0
1993,CO,1,1293,0
1994,CO,1,1152,0
1995,CO,1,1163,0
1996,CO,1,1260,0
1997,CO,1,1247,0
1998,CO,1,1112,0
1999,CO,1,1074,0
2000,CO,1,1098,0
2001,CO,1,1215,0
2002,CO,1,1203,0
2003,CO,1,1006,0
2004,CO,1,1163,0
2005,CO,1,1076,0
2006,CO,1,1032,0
2007,CO,1,1425,0
2008,CO,1,1342,0
2009,CO,1,1106,0
2010,CO,1,1183,0
2011,CO,1,1242,0
2012,CO,1,1072,0
2013,CO,1,1247,0
2014,CO,1,1178,0
2015,CO,1,1101,0
2016,CO,1,1190,0
2017,CO,1,1227,0
2018,CO,1,1083,0
2019,CO,1,1179,0
1989,CT,1,1057,0
1990,CT,1,932,0
1991,CT,1,1158,0
1992,CT,1,1111,0
1993,CT,1,1082,0
1994,CT,1,1400,0
1995,CT,1,988,0
1996,CT,1,1208,0
1997,CT,1,1155,0
1998,CT,1,963,0
1999,CT,1,1134,0
2000,CT,1,1222,0
2001,CT,1,1191,0
2002,CT,1,961,0
2003,CT,1,1321,0
2004,CT,1,1409,0
2005,CT,1,1236,0
2006,CT,1,949,0
2007,CT,1,1022,0
2008,CT,1,1066,0
2009,CT,1,1336,0
2010,CT,1,1158,0
2011,CT,1,1273,0
2012,CT,1,1006,0
2013,CT,1,1096,0
2014,CT,1,1258,0
2015,CT,1,1264,0
2016,CT,1,1068,0
2017,CT,1,972,0
2018,CT,1,1198,0
2019,CT,1,1151,0
1989,DE,1,880,0
1990,DE,1,759,0
1991,DE,1,934,0
1992,DE,1,920,0
1993,DE,1,853,0
1994,DE,1,1188,0
1995,DE,1,853,0
1996,DE,1,1040,0
1997,DE,1,989,0
1998,DE,1,748,0
1999,DE,1,882,0
2000,DE,1,1010,0
2001,DE,1,1010,0
2002,DE,1,801,0
2003,DE,1,1119,0
2004,DE,1,1161,0
2005,DE,1,982,0
2006,DE,1,735,0
2007,DE,1,796,0
2008,DE,1,897,0
2009,DE,1,1089,0
2010,DE,1,995,0
2011,DE,1,1100,0
2012,DE,1,827,0
2013,DE,1,886,0
2014,DE,1,1119,0
2015,DE,1,1054,0
2016,DE,1,979,0
2017,DE,1,827,0
2018,DE,1,1022,0
2019,DE,1,966,0
1989,FL,1,116,158
1990,FL,1,130,153
1991,FL,1,135,150
1992,FL,1,238,67
1993,FL,1,119,160
1994,FL,1,220,84
1995,FL,1,238,64
1996,FL,1,235,69
1997,FL,1,185,95
1998,FL,1,165,112
1999,FL,1,161,115
2000,FL,1,203,84
2001,FL,1,321,32
2002,FL,1,186,97
2003,FL,1,339,29
2004,FL,1,231,69
2005,FL,1,177,97
2006,FL,1,166,105
2007,FL,1,146,138
2008,FL,1,197,92
2009,FL,1,229,67
2010,FL,1,335,30
2011,FL,1,261,60
2012,FL,1,194,84
2013,FL,1,115,163
2014,FL,1,268,63
2015,FL,1,191,102
2016,FL,1,228,74
2017,FL,1,136,133
2018,FL,1,258,64
2019,FL,1,202,85
1989,GA,1,534,19
1990,GA,1,520,18
1991,GA,1,649,7
1992,GA,1,656,5
1993,GA,1,558,16
1994,GA,1,803,2
1995,GA,1,655,6
1996,GA,1,734,4
1997,GA,1,621,8
1998,GA,1,573,14
1999,GA,1,560,14
2000,GA,1,673,6
2001,GA,1,749,2
2002,GA,1,612,8
2003,GA,1,786,1
2004,GA,1,700,4
2005,GA,1,562,14
2006,GA,1,508,20
2007,GA,1,586,10
2008,GA,1,709,4
2009,GA,1,676,6
2010,GA,1,805,1
2011,GA,1,787,1
2012,GA,1,558,15
2013,GA,1,505,22
2014,GA,1,882,1
2015,GA,1,709,4
2016,GA,1,729,4
2017,GA,1,474,25
2018,GA,1,787,2
2019,GA,1,622,8
1989,ID,1,1338,0
1990,ID,1,1086,0
1991,ID,1,1325,0
1992,ID,1,1132,0
1993,ID,1,1364,0
1994,ID,1,1061,0
1995,ID,1,1096,0
1996,ID,1,1174,0
1997,ID,1,1174,0
1998,ID,1,1047,0
1999,ID,1,1085,0
2000,ID,1,1134,0
2001,ID,1,1252,0
2002,ID,1,1204,0
2003,ID,1,976,0
2004,ID,1,1254,0
2005,ID,1,1142,0
2006,ID,1,1055,0
2007,ID,1,1290,0
2008,ID,1,1317,0
2009,ID,1,1189,0
2010,ID,1,1067,0
2011,ID,1,1215,0
2012,ID,1,1100,0
2013,ID,1,1382,0
2014,ID,1,1117,0
2015,ID,1,1089,0
2016,ID,1,1141,0
2017,ID,1,1409,0
2018,ID,1,998,0
2019,ID,1,1124,0
1989,IL,1,1019,0
1990,IL,1,971,0
1991,IL,1,1371,0
1992,IL,1,1129,0
1993,IL,1,1213,0
1994,IL,1,1503,0
1995,IL,1,1293,0
1996,IL,1,1316,0
1997,IL,1,1431,0
1998,IL,1,1110,0
1999,IL,1,1343,0
2000,IL,1,1251,0
2001,IL,1,1274,0
2002,IL,1,1032,0
2003,IL,1,1371,0
2004,IL,1,1352,0
2005,IL,1,1212,0
2006,IL,1,908,1
2007,IL,1,1142,0
2008,IL,1,1267,0
2009,IL,1,1502,0
2010,IL,1,1392,0
2011,IL,1,1371,0
2012,IL,1,1100,0
2013,IL,1,1187,0
2014,IL,1,1538,0
2015,IL,1,1316,0
2016,IL,1,1255,0
2017,IL,1,1107,0
2018,IL,1,1322,0
2019,IL,1,1326,0
1989,IN,1,954,0
1990,IN,1,896,0
1991,IN,1,1216,0
1992,IN,1,1086,0
1993,IN,1,1089,0
1994,IN,1,1406,0
1995,IN,1,1160,0
1996,IN,1,1251,0
1997,IN,1,1317,0
1998,IN,1,949,0
1999,IN,1,1200,0
2000,IN,1,1208,0
2001,IN,1,1189,0
2002,IN,1,966,0
2003,IN,1,1363,0
2004,IN,1,1276,0
2005,IN,1,1112,0
2006,IN,1,817,2
2007,IN,1,1032,0
2008,IN,1,1171,0
2009,IN,1,1375,0
2010,IN,1,1285,0
2011,IN,1,1297,0
2012,IN,1,1027,0
2013,IN,1,1103,0
2014,IN,1,1438,0
2015,IN,1,1252,0
2016,IN,1,1176,0
2017,IN,1,982,0
2018,IN,1,1271,0
2019,IN,1,1201,0
1989,IA,1,1109,0
1990,IA,1,1094,0
1991,IA,1,1595,0
1992,IA,1,1181,0
1993,IA,1,1453,0
1994,IA,1,1690,0
1995,IA,1,1449,0
1996,IA,1,1512,0
1997,IA,1,1556,0
1998,IA,1,1279,0
1999,IA,1,1487,0
2000,IA,1,1347,0
2001,IA,1,1369,0
2002,IA,1,1114,0
2003,IA,1,1424,0
2004,IA,1,1460,0
2005,IA,1,1423,0
2006,IA,1,1007,0
2007,IA,1,1332,0
2008,IA,1,1492,0
2009,IA,1,1620,0
2010,IA,1,1583,0
2011,IA,1,1541,0
2012,IA,1,1195,0
2013,IA,1,1327,0
2014,IA,1,1588,0
2015,IA,1,1351,0
2016,IA,1,1403,0
2017,IA,1,1256,0
2018,IA,1,1454,0
2019,IA,1,1441,0
1989,KS,1,858,0
1990,KS,1,840,0
1991,KS,1,1218,0
1992,KS,1,865,0
1993,KS,1,1197,0
1994,KS,1,1133,0
1995,KS,1,1065,0
1996,KS,1,1177,0
1997,KS,1,1135,0
1998,KS,1,997,0
1999,KS,1,1065,0
2000,KS,1,983,0
2001,KS,1,1065,0
2002,KS,1,951,0
2003,KS,1,1064,0
2004,KS,1,1080,0
2005,KS,1,1084,0
2006,KS,1,725,6
2007,KS,1,1109,0
2008,KS,1,1073,0
2009,KS,1,1076,0
2010,KS,1,1211,0
2011,KS,1,1189,0
2012,KS,1,878,0
2013,KS,1,977,0
2014,KS,1,1121,0
2015,KS,1,1020,0
2016,KS,1,1038,0
2017,KS,1,957,0
2018,KS,1,1100,0
2019,KS,1,1045,0
1989,KY,1,773,4
1990,KY,1,737,9
1991,KY,1,958,0
1992,KY,1,918,0
1993,KY,1,854,0
1994,KY,1,1188,0
1995,KY,1,939,0
1996,KY,1,1020,0
1997,KY,1,1016,0
1998,KY,1,759,8
1999,KY,1,861,0
2000,KY,1,977,0
2001,KY,1,1037,0
2002,KY,1,840,0
2003,KY,1,1147,0
2004,KY,1,1018,0
2005,KY,1,815,0
2006,KY,1,693,11
2007,KY,1,841,0
2008,KY,1,989,0
2009,KY,1,1090,0
2010,KY,1,1096,0
2011,KY,1,1089,0
2012,KY,1,822,0
2013,KY,1,883,0
2014,KY,1,1193,0
2015,KY,1,1022,0
2016,KY,1,1038,0
2017,KY,1,759,6
2018,KY,1,1088,0
2019,KY,1,936,0
1989,LA,1,322,60
1990,LA,1,356,44
1991,LA,1,505,18
1992,LA,1,512,16
1993,LA,1,414,35
1994,LA,1,539,14
1995,LA,1,454,23
1996,LA,1,484,20
1997,LA,1,465,23
1998,LA,1,376,37
1999,LA,1,353,44
2000,LA,1,387,36
2001,LA,1,577,11
2002,LA,1,421,29
2003,LA,1,582,10
2004,LA,1,455,24
2005,LA,1,351,46
2006,LA,1,321,55
2007,LA,1,462,23
2008,LA,1,498,18
2009,LA,1,434,29
2010,LA,1,587,10
2011,LA,1,545,13
2012,LA,1,326,54
2013,LA,1,388,37
2014,LA,1,653,5
2015,LA,1,528,15
2016,LA,1,489,19
2017,LA,1,290,67
2018,LA,1,619,8
2019,LA,1,461,23
1989,ME,1,1355,0
1990,ME,1,1221,0
1991,ME,1,1489,0
1992,ME,1,1444,0
1993,ME,1,1423,0
1994,ME,1,1732,0
1995,ME,1,1291,0
1996,ME,1,1471,0
1997,ME,1,1451,0
1998,ME,1,1332,0
1999,ME,1,1425,0
2000,ME,1,1451,0
2001,ME,1,1475,0
2002,ME,1,1246,0
2003,ME,1,1617,0
2004,ME,1,1688,0
2005,ME,1,1541,0
2006,ME,1,1190,0
2007,ME,1,1358,0
2008,ME,1,1323,0
2009,ME,1,1628,0
2010,ME,1,1302,0
2011,ME,1,1431,0
2012,ME,1,1314,0
2013,ME,1,1394,0
2014,ME,1,1453,0
2015,ME,1,1530,0
2016,ME,1,1278,0
2017,ME,1,1221,0
2018,ME,1,1434,0
2019,ME,1,1441,0
1989,MD,1,875,0
1990,MD,1,758,0
1991,MD,1,951,0
1992,MD,1,930,0
1993,MD,1,875,0
1994,MD,1,1225,0
1995,MD,1,881,0
1996,MD,1,1080,0
1997,MD,1,991,0
1998,MD,1,768,0
1999,MD,1,912,0
2000,MD,1,1007,0
2001,MD,1,1026,0
2002,MD,1,808,0
2003,MD,1,1131,0
2004,MD,1,1160,0
2005,MD,1,973,0
2006,MD,1,743,0
2007,MD,1,827,0
2008,MD,1,906,0
2009,MD,1,1116,0
2010,MD,1,1008,0
2011,MD,1,1099,0
2012,MD,1,860,0
2013,MD,1,893,0
2014,MD,1,1167,0
2015,MD,1,1075,0
2016,MD,1,1030,0
2017,MD,1,831,0
2018,MD,1,1047,0
2019,MD,1,975,0
1989,MA,1,1081,0
1990,MA,1,980,0
1991,MA,1,1208,0
1992,MA,1,1169,0
1993,MA,1,1132,0
1994,MA,1,1437,0
1995,MA,1,1006,0
1996,MA,1,1213,0
1997,MA,1,1192,0
1998,MA,1,1020,0
1999,MA,1,1169,0
2000,MA,1,1247,0
2001,MA,1,1218,0
2002,MA,1,982,0
2003,MA,1,1383,0
2004,MA,1,1446,0
2005,MA,1,1262,0
2006,MA,1,962,0
2007,MA,1,1060,0
2008,MA,1,1108,0
2009,MA,1,1362,0
2010,MA,1,1181,0
2011,MA,1,1286,0
2012,MA,1,1033,0
2013,MA,1,1126,0
2014,MA,1,1260,0
2015,MA,1,1295,0
2016,MA,1,1097,0
2017,MA,1,1006,0
2018,MA,1,1216,0
2019,MA,1,1172,0
1989,MI,1,1101,0
1990,MI,1,1052,0
1991,MI,1,1352,0
1992,MI,1,1223,0
1993,MI,1,1234,0
1994,MI,1,1594,0
1995,MI,1,1233,0
1996,MI,1,1365,0
1997,MI,1,1378,0
1998,MI,1,1109,0
1999,MI,1,1368,0
2000,MI,1,1326,0
2001,MI,1,1244,0
2002,MI,1,1064,0
2003,MI,1,1435,0
2004,MI,1,1469,0
2005,MI,1,1353,0
2006,MI,1,988,0
2007,MI,1,1175,0
2008,MI,1,1211,0
2009,MI,1,1540,0
2010,MI,1,1305,0
2011,MI,1,1408,0
2012,MI,1,1139,0
2013,MI,1,1202,0
2014,MI,1,1549,0
2015,MI,1,1410,0
2016,MI,1,1238,0
2017,MI,1,1129,0
2018,MI,1,1310,0
2019,MI,1,1362,0
1989,MN,1,1504,0
1990,MN,1,1335,0
1991,MN,1,1772,0
1992,MN,1,1452,0
1993,MN,1,1704,0
1994,MN,1,2028,0
1995,MN,1,1609,0
1996,MN,1,1905,0
1997,MN,1,1813,0
1998,MN,1,1528,0
1999,MN,1,1731,0
2000,MN,1,1645,0
2001,MN,1,1490,0
2002,MN,1,1387,0
2003,MN,1,1653,0
2004,MN,1,1787,0
2005,MN,1,1708,0
2006,MN,1,1228,0
2007,MN,1,1514,0
2008,MN,1,1709,0
2009,MN,1,1915,0
2010,MN,1,1708,0
2011,MN,1,1794,0
2012,MN,1,1409,0
2013,MN,1,1611,0
2014,MN,1,1909,0
2015,MN,1,1549,0
2016,MN,1,1592,0
2017,MN,1,1509,0
2018,MN,1,1657,0
2019,MN,1,1744,0
1989,MS,1,457,29
1990,MS,1,478,24
1991,MS,1,624,10
1992,MS,1,639,8
1993,MS,1,537,19
1994,MS,1,728,5
1995,MS,1,586,11
1996,MS,1,637,9
1997,MS,1,614,10
1998,MS,1,515,19
1999,MS,1,485,24
2000,MS,1,550,16
2001,MS,1,737,3
2002,MS,1,549,16
2003,MS,1,749,3
2004,MS,1,611,10
2005,MS,1,475,25
2006,MS,1,437,30
2007,MS,1,582,12
2008,MS,1,661,7
2009,MS,1,611,12
2010,MS,1,748,2
2011,MS,1,700,5
2012,MS,1,456,28
2013,MS,1,501,22
2014,MS,1,812,0
2015,MS,1,652,8
2016,MS,1,655,7
2017,MS,1,403,38
2018,MS,1,765,2
2019,MS,1,584,12
1989,MO,1,840,0
1990,MO,1,813,0
1991,MO,1,1224,0
1992,MO,1,931,0
1993,MO,1,1129,0
1994,MO,1,1239,0
1995,MO,1,1146,0
1996,MO,1,1187,0
1997,MO,1,1233,0
1998,MO,1,948,0
1999,MO,1,1108,0
2000,MO,1,1018,0
2001,MO,1,1128,0
2002,MO,1,940,0
2003,MO,1,1189,0
2004,MO,1,1127,0
2005,MO,1,1023,0
2006,MO,1,761,2
2007,MO,1,1055,0
2008,MO,1,1085,0
2009,MO,1,1189,0
2010,MO,1,1261,0
2011,MO,1,1227,0
2012,MO,1,917,0
2013,MO,1,996,0
2014,MO,1,1245,0
2015,MO,1,1074,0
2016,MO,1,1087,0
2017,MO,1,950,0
2018,MO,1,1168,0
2019,MO,1,1089,0
1989,MT,1,1311,0
1990,MT,1,1206,1
1991,MT,1,1465,0
1992,MT,1,1168,4
1993,MT,1,1571,0
1994,MT,1,1233,0
1995,MT,1,1283,0
1996,MT,1,1552,0
1997,MT,1,1480,0
1998,MT,1,1349,0
1999,MT,1,1244,0
2000,MT,1,1287,0
2001,MT,1,1246,1
2002,MT,1,1290,0
2003,MT,1,1175,0
2004,MT,1,1396,0
2005,MT,1,1365,0
2006,MT,1,1061,6
2007,MT,1,1345,0
2008,MT,1,1422,0
2009,MT,1,1294,0
2010,MT,1,1285,0
2011,MT,1,1337,0
2012,MT,1,1220,1
2013,MT,1,1298,0
2014,MT,1,1207,1
2015,MT,1,1197,0
2016,MT,1,1235,0
2017,MT,1,1512,0
2018,MT,1,1240,0
2019,MT,1,1220,1
1989,NE,1,1032,0
1990,NE,1,1009,0
1991,NE,1,1450,0
1992,NE,1,1008,0
1993,NE,1,1461,0
1994,NE,1,1394,0
1995,NE,1,1283,0
1996,NE,1,1438,0
1997,NE,1,1386,0
1998,NE,1,1219,0
1999,NE,1,1266,0
2000,NE,1,1142,0
2001,NE,1,1200,0
2002,NE,1,1085,0
2003,NE,1,1239,0
2004,NE,1,1328,0
2005,NE,1,1345,0
2006,NE,1,870,6
2007,NE,1,1318,0
2008,NE,1,1373,0
2009,NE,1,1277,0
2010,NE,1,1433,0
2011,NE,1,1441,0
2012,NE,1,1062,0
2013,NE,1,1234,0
2014,NE,1,1293,0
2015,NE,1,1176,0
2016,NE,1,1247,0
2017,NE,1,1217,0
2018,NE,1,1338,0
2019,NE,1,1235,0
1989,NV,1,846,0
1990,NV,1,748,0
1991,NV,1,780,0
1992,NV,1,752,0
1993,NV,1,834,0
1994,NV,1,660,0
1995,NV,1,701,0
1996,NV,1,665,0
1997,NV,1,707,0
1998,NV,1,660,0
1999,NV,1,638,0
2000,NV,1,633,0
2001,NV,1,770,0
2002,NV,1,754,0
2003,NV,1,495,9
2004,NV,1,738,0
2005,NV,1,693,0
2006,NV,1,664,0
2007,NV,1,824,0
2008,NV,1,823,0
2009,NV,1,641,0
2010,NV,1,702,0
2011,NV,1,703,0
2012,NV,1,641,0
2013,NV,1,850,0
2014,NV,1,567,6
2015,NV,1,589,4
2016,NV,1,735,0
2017,NV,1,773,0
2018,NV,1,555,6
2019,NV,1,686,0
1989,NH,1,1280,0
1990,NH,1,1176,0
1991,NH,1,1421,0
1992,NH,1,1371,0
1993,NH,1,1317,0
1994,NH,1,1686,0
1995,NH,1,1206,0
1996,NH,1,1409,0
1997,NH,1,1406,0
1998,NH,1,1244,0
1999,NH,1,1391,0
2000,NH,1,1435,0
2001,NH,1,1395,0
2002,NH,1,1147,0
2003,NH,1,1610,0
2004,NH,1,1631,0
2005,NH,1,1467,0
2006,NH,1,1157,0
2007,NH,1,1284,0
2008,NH,1,1300,0
2009,NH,1,1582,0
2010,NH,1,1325,0
2011,NH,1,1458,0
2012,NH,1,1260,0
2013,NH,1,1335,0
2014,NH,1,1462,0
2015,NH,1,1508,0
2016,NH,1,1256,0
2017,NH,1,1178,0
2018,NH,1,1398,0
2019,NH,1,1398,0
1989,NJ,1,967,0
1990,NJ,1,855,0
1991,NJ,1,1057,0
1992,NJ,1,1012,0
1993,NJ,1,946,0
1994,NJ,1,1305,0
1995,NJ,1,929,0
1996,NJ,1,1142,0
1997,NJ,1,1093,0
1998,NJ,1,832,0
1999,NJ,1,1015,0
2000,NJ,1,1102,0
2001,NJ,1,1107,0
2002,NJ,1,885,0
2003,NJ,1,1216,0
2004,NJ,1,1271,0
2005,NJ,1,1106,0
2006,NJ,1,834,0
2007,NJ,1,896,0
2008,NJ,1,968,0
2009,NJ,1,1204,0
2010,NJ,1,1061,0
2011,NJ,1,1186,0
2012,NJ,1,934,0
2013,NJ,1,980,0
2014,NJ,1,1228,0
2015,NJ,1,1172,0
2016,NJ,1,1056,0
2017,NJ,1,908,0
2018,NJ,1,1131,0
2019,NJ,1,1056,0
1989,NM,1,944,0
1990,NM,1,958,0
1991,NM,1,971,0
1992,NM,1,1032,0
1993,NM,1,836,0
1994,NM,1,904,0
1995,NM,1,888,0
1996,NM,1,862,0
1997,NM,1,965,0
1998,NM,1,849,0
1999,NM,1,778,0
2000,NM,1,788,0
2001,NM,1,1004,0
2002,NM,1,876,0
2003,NM,1,744,0
2004,NM,1,862,0
2005,NM,1,754,0
2006,NM,1,826,0
2007,NM,1,1024,0
2008,NM,1,988,0
2009,NM,1,822,0
2010,NM,1,955,0
2011,NM,1,946,0
2012,NM,1,808,0
2013,NM,1,1013,0
2014,NM,1,870,0
2015,NM,1,891,0
2016,NM,1,935,0
2017,NM,1,837,0
2018,NM,1,846,0
2019,NM,1,903,0
1989,NY,1,1068,0
1990,NY,1,949,0
1991,NY,1,1178,0
1992,NY,1,1145,0
1993,NY,1,1095,0
1994,NY,1,1461,0
1995,NY,1,1015,0
1996,NY,1,1259,0
1997,NY,1,1215,0
1998,NY,1,989,0
1999,NY,1,1177,0
2000,NY,1,1243,0
2001,NY,1,1187,0
2002,NY,1,967,0
2003,NY,1,1369,0
2004,NY,1,1427,0
2005,NY,1,1258,0
2006,NY,1,944,0
2007,NY,1,1051,0
2008,NY,1,1070,0
2009,NY,1,1354,0
2010,NY,1,1184,0
2011,NY,1,1286,0
2012,NY,1,1033,0
2013,NY,1,1104,0
2014,NY,1,1313,0
2015,NY,1,1304,0
2016,NY,1,1114,0
2017,NY,1,997,0
2018,NY,1,1239,0
2019,NY,1,1203,0
1989,NC,1,652,5
1990,NC,1,581,10
1991,NC,1,731,2
1992,NC,1,712,2
1993,NC,1,675,3
1994,NC,1,892,0
1995,NC,1,744,2
1996,NC,1,834,0
1997,NC,1,762,1
1998,NC,1,649,5
1999,NC,1,626,7
2000,NC,1,809,0
2001,NC,1,794,0
2002,NC,1,699,3
2003,NC,1,881,0
2004,NC,1,837,0
2005,NC,1,682,3
2006,NC,1,577,10
2007,NC,1,649,5
2008,NC,1,777,2
2009,NC,1,814,0
2010,NC,1,875,0
2011,NC,1,888,0
2012,NC,1,661,5
2013,NC,1,652,5
2014,NC,1,920,0
2015,NC,1,795,0
2016,NC,1,825,0
2017,NC,1,615,8
2018,NC,1,900,0
2019,NC,1,713,2
1989,ND,1,1638,0
1990,ND,1,1354,0
1991,ND,1,1823,0
1992,ND,1,1422,0
1993,ND,1,1843,0
1994,ND,1,2111,0
1995,ND,1,1733,0
1996,ND,1,2032,0
1997,ND,1,1981,0
1998,ND,1,1705,0
1999,ND,1,1827,0
2000,ND,1,1659,0
2001,ND,1,1512,0
2002,ND,1,1507,0
2003,ND,1,1705,0
2004,ND,1,1919,0
2005,ND,1,1838,0
2006,ND,1,1238,1
2007,ND,1,1617,0
2008,ND,1,1751,0
2009,ND,1,1899,0
2010,ND,1,1733,0
2011,ND,1,1850,0
2012,ND,1,1414,0
2013,ND,1,1684,0
2014,ND,1,1790,0
2015,ND,1,1538,0
2016,ND,1,1587,0
2017,ND,1,1670,0
2018,ND,1,1666,0
2019,ND,1,1745,0
1989,OH,1,945,0
1990,OH,1,899,0
1991,OH,1,1153,0
1992,OH,1,1097,0
1993,OH,1,1029,0
1994,OH,1,1417,0
1995,OH,1,1124,0
1996,OH,1,1240,0
1997,OH,1,1221,0
1998,OH,1,917,0
1999,OH,1,1150,0
2000,OH,1,1206,0
2001,OH,1,1165,0
2002,OH,1,960,0
2003,OH,1,1358,0
2004,OH,1,1302,0
2005,OH,1,1118,0
2006,OH,1,822,2
2007,OH,1,1002,0
2008,OH,1,1112,0
2009,OH,1,1379,0
2010,OH,1,1246,0
2011,OH,1,1296,0
2012,OH,1,1028,0
2013,OH,1,1077,0
2014,OH,1,1403,0
2015,OH,1,1268,0
2016,OH,1,1171,0
2017,OH,1,952,0
2018,OH,1,1245,0
2019,OH,1,1175,0
1989,OK,1,710,0
1990,OK,1,657,3
1991,OK,1,981,0
1992,OK,1,756,0
1993,OK,1,909,0
1994,OK,1,914,0
1995,OK,1,810,0
1996,OK,1,918,0
1997,OK,1,886,0
1998,OK,1,761,0
1999,OK,1,788,0
2000,OK,1,767,0
2001,OK,1,911,0
2002,OK,1,774,0
2003,OK,1,878,0
2004,OK,1,807,0
2005,OK,1,790,0
2006,OK,1,561,10
2007,OK,1,921,0
2008,OK,1,825,0
2009,OK,1,870,0
2010,OK,1,936,0
2011,OK,1,936,0
2012,OK,1,686,0
2013,OK,1,771,0
2014,OK,1,907,0
2015,OK,1,850,0
2016,OK,1,837,0
2017,OK,1,740,0
2018,OK,1,881,0
2019,OK,1,834,0
1989,OR,1,835,0
1990,OR,1,789,0
1991,OR,1,854,0
1992,OR,1,736,0
1993,OR,1,972,0
1994,OR,1,722,0
1995,OR,1,742,0
1996,OR,1,810,0
1997,OR,1,818,0
1998,OR,1,747,0
1999,OR,1,787,0
2000,OR,1,856,0
2001,OR,1,803,0
2002,OR,1,837,0
2003,OR,1,654,0
2004,OR,1,831,0
2005,OR,1,777,0
2006,OR,1,747,0
2007,OR,1,895,0
2008,OR,1,939,0
2009,OR,1,812,0
2010,OR,1,681,0
2011,OR,1,779,0
2012,OR,1,796,0
2013,OR,1,890,0
2014,OR,1,740,0
2015,OR,1,673,0
2016,OR,1,783,0
2017,OR,1,969,0
2018,OR,1,702,0
2019,OR,1,748,0
1989,PA,1,1012,0
1990,PA,1,912,0
1991,PA,1,1132,0
1992,PA,1,1091,0
1993,PA,1,1019,0
1994,PA,1,1405,0
1995,PA,1,1037,0
1996,PA,1,1236,0
1997,PA,1,1175,0
1998,PA,1,898,0
1999,PA,1,1108,0
2000,PA,1,1167,0
2001,PA,1,1170,0
2002,PA,1,953,0
2003,PA,1,1311,0
2004,PA,1,1336,0
2005,PA,1,1145,0
2006,PA,1,878,0
2007,PA,1,984,0
2008,PA,1,1055,0
2009,PA,1,1302,0
2010,PA,1,1155,0
2011,PA,1,1267,0
2012,PA,1,1024,0
2013,PA,1,1060,0
